Symbol,Security,GICS_Sector,GICS_Sub-Industry,Date_added,Founded
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,1983,1919
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,1957,2002
ED,Consolidated Edison,Utilities,Electric Utilities,1957,1823
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,2005,1945
CEG,Constellation Energy,Utilities,Multi-Utilities,2022,1999
COO,CooperCompanies,Health Care,Health Care Supplies,2016,1958
CPRT,Copart,Industrials,Diversified Support Services,2018,1982
GLW,Corning Inc.,Information Technology,Electronic Components,1995,1851
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2019,2019
CSGP,CoStar Group,Industrials,Research & Consulting Services,2022,1987
COST,Costco,Consumer Staples,Hypermarkets & Super Centers,1993,1976
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2008,1989
CCI,Crown Castle,Real Estate,Specialized REITs,2012,1994
CSX,CSX,Industrials,Railroads,1957,1980
CMI,Cummins,Industrials,Industrial Machinery,1965,1919
CVS,CVS Health,Health Care,Health Care Services,1957,1996
DHI,D.R. Horton,Consumer Discretionary,Homebuilding,2005,1978
DHR,Danaher Corporation,Health Care,Health Care Equipment,1998,1969
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,1995,1938
DVA,DaVita Inc.,Health Care,Health Care Facilities,2008,1979
DE,John Deere,Industrials,Agricultural & Farm Machinery,1957,1837
DAL,Delta Air Lines,Industrials,Airlines,2013,1929
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,2008,1969
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2000,1971
DXCM,Dexcom,Health Care,Health Care Equipment,2020,1999
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2018,2007
DLR,Digital Realty,Real Estate,Specialized REITs,2016,2004
DFS,Discover Financial,Financials,Consumer Finance,2007,1985
DISH,Dish Network,Communication Services,Cable & Satellite,2017,1980
DIS,Disney,Communication Services,Movies & Entertainment,1976,1923
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,2012,1939
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,2011,1986
D,Dominion Energy,Utilities,Electric Utilities,1957,1983
DPZ,Domino's,Consumer Discretionary,Restaurants,2020,1960
DOV,Dover Corporation,Industrials,Industrial Machinery,1985,1955
DOW,Dow Inc.,Materials,Commodity Chemicals,2019,2019
DTE,DTE Energy,Utilities,Multi-Utilities,1957,1995
DUK,Duke Energy,Utilities,Electric Utilities,1976,1904
DD,DuPont,Materials,Specialty Chemicals,2019,2017
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,2017,2017
EMN,Eastman Chemical Company,Materials,Diversified Chemicals,1994,1920
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,1957,1911
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,2002,1995
ECL,Ecolab,Materials,Specialty Chemicals,1989,1923
EIX,Edison International,Utilities,Electric Utilities,1957,1886
EW,Edwards Lifesciences,Health Care,Health Care Equipment,2011,1958
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,2002,1982
ELV,Elevance Health,Health Care,Managed Health Care,2002,1946
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,1970,1876
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,1965,1890
ENPH,Enphase,Information Technology,Electronic Components,2021,2006
ETR,Entergy,Utilities,Electric Utilities,1957,1913
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2000,1999
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021,1993
EQT,EQT,Energy,Oil & Gas Exploration & Production,2022,1888
EFX,Equifax,Industrials,Research & Consulting Services,1997,1899
EQIX,Equinix,Real Estate,Specialized REITs,2015,1998
EQR,Equity Residential,Real Estate,Residential REITs,2001,1969
ESS,Essex Property Trust,Real Estate,Residential REITs,2014,1971
EL,Estée Lauder Companies (The),Consumer Staples,Personal Products,2006,1946
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,2020,2005
RE,Everest Re,Financials,Reinsurance,2017,1973
EVRG,Evergy,Utilities,Electric Utilities,2018,1909
ES,Eversource,Utilities,Multi-Utilities,2009,1966
EXC,Exelon,Utilities,Multi-Utilities,1957,2000
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,2007,1996
EXPD,Expeditors International,Industrials,Air Freight & Logistics,2007,1979
EXR,Extra Space Storage,Real Estate,Specialized REITs,2016,1977
XOM,ExxonMobil,Energy,Integrated Oil & Gas,1957,1999
FFIV,"F5, Inc.",Information Technology,Communications Equipment,2010,1996
FDS,FactSet,Financials,Financial Exchanges & Data,2021,1978
FAST,Fastenal,Industrials,Building Products,2008,1967
FRT,Federal Realty,Real Estate,Retail REITs,2016,1962
FDX,FedEx,Industrials,Air Freight & Logistics,1980,1971
FITB,Fifth Third Bank,Financials,Regional Banks,1996,1858
FRC,First Republic Bank,Financials,Regional Banks,2019,1985
FSLR,First Solar,Information Technology,Semiconductors,2022,1999
FE,FirstEnergy,Utilities,Electric Utilities,1997,1997
FIS,FIS,Information Technology,Data Processing & Outsourced Services,2006,1968
FISV,Fiserv,Information Technology,Data Processing & Outsourced Services,2001,1984
FLT,Fleetcor,Information Technology,Data Processing & Outsourced Services,2018,2000
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,2009,1883
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,1957,1903
FTNT,Fortinet,Information Technology,Systems Software,2018,2000
FTV,Fortive,Industrials,Industrial Machinery,2016,2016
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,2013,2019
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,2015,2019
BEN,Franklin Templeton,Financials,Asset Management & Custody Banks,1998,1947
FCX,Freeport-McMoRan,Materials,Copper,1957,1912
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,2012,1989
IT,Gartner,Information Technology,IT Consulting & Other Services,2017,1979
GEHC,GE HealthCare,Health Care,Health Care Technology,2023,1994
GEN,Gen Digital,Information Technology,Application Software,2003,1982
GNRC,Generac,Industrials,Electrical Components & Equipment,2021,1959
GD,General Dynamics,Industrials,Aerospace & Defense,1957,1899
GE,General Electric,Industrials,Industrial Conglomerates,1957,1892
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,1957,1856
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2013,1908
GPC,Genuine Parts Company,Consumer Discretionary,Specialty Stores,1973,1925
GILD,Gilead Sciences,Health Care,Biotechnology,2004,1987
GL,Globe Life,Financials,Life & Health Insurance,1989,1900
GPN,Global Payments,Information Technology,Data Processing & Outsourced Services,2016,2000
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,2002,1869
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,1957,1919
HIG,Hartford (The),Financials,Property & Casualty Insurance,1957,1810
HAS,Hasbro,Consumer Discretionary,Leisure Products,1984,1923
HCA,HCA Healthcare,Health Care,Health Care Facilities,2015,1968
PEAK,Healthpeak,Real Estate,Health Care REITs,2008,1985
HSIC,Henry Schein,Health Care,Health Care Distributors,2015,1932
HSY,Hershey's,Consumer Staples,Packaged Foods & Meats,1957,1894
HES,Hess Corporation,Energy,Integrated Oil & Gas,1984,1919
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2015,2015
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017,1919
HOLX,Hologic,Health Care,Health Care Equipment,2016,1985
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,1988,1978
HON,Honeywell,Industrials,Industrial Conglomerates,1957,1906
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,2009,1891
